data obrotu i instrument;data obrotu;instrument;DKR;kurs min.;kurs maks.;najlepsza oferta kupna;najlepsza oferta sprzedaży;wol. obrotu;liczba kontraktów;liczba transakcji;wartość obrotu;liczba otwartych pozycji;liczba kontraktów od początku;czas eksportu
2021-09-15 BASE_W-38-21;2021-09-15;BASE_W-38-21;499,60;498,00;500,00;500,00;498,00;3864;23;13;1930656,00;39;58;15.09.2021 14:35:01
2021-09-15 BASE_W-39-21;2021-09-15;BASE_W-39-21;;;;480,00;509,00;0;0;0;0,00;0;0;
2021-09-15 BASE_W-40-21;2021-09-15;BASE_W-40-21;;;;;510,00;0;0;0;0,00;0;0;
2021-09-15 BASE_W-41-21;2021-09-15;BASE_W-41-21;;;;;;0;0;0;0,00;0;0;
2021-09-15 BASE_W-42-21;2021-09-15;BASE_W-42-21;;;;;;0;0;0;0,00;0;0;
2021-09-15 BASE_M-10-21;2021-09-15;BASE_M-10-21;481,90;475,00;490,00;490,00;475,00;12665;17;12;6097080,00;78;234;
2021-09-15 BASE_M-11-21;2021-09-15;BASE_M-11-21;444,00;440,00;448,00;448,00;443,00;5760;8;4;2557440,00;80;109;
2021-09-15 BASE_M-12-21;2021-09-15;BASE_M-12-21;401,90;400,00;406,00;406,00;400,00;14880;20;14;5996974,80;106;150;
2021-09-15 BASE_M-01-22;2021-09-15;BASE_M-01-22;;;;;;0;0;0;0,00;0;0;
2021-09-15 BASE_M-02-22;2021-09-15;BASE_M-02-22;;;;;;0;0;0;0,00;0;0;
2021-09-15 BASE_M-03-22;2021-09-15;BASE_M-03-22;;;;;;0;0;0;0,00;0;0;
2021-09-15 BASE_Q-4-21;2021-09-15;BASE_Q-4-21;436,60;434,00;448,00;448,00;434,00;181138;82;53;80043667,25;1690;4474;
2021-09-15 BASE_Q-1-22;2021-09-15;BASE_Q-1-22;394,83;393,50;397,00;397,00;393,50;116586;54;31;46136318,70;896;1406;
2021-09-15 BASE_Q-2-22;2021-09-15;BASE_Q-2-22;381,50;380,00;383,00;383,00;382,00;6552;3;2;2496312,00;34;41;
2021-09-15 BASE_Q-3-22;2021-09-15;BASE_Q-3-22;;;;390,00;413,00;0;0;0;0,00;0;0;
2021-09-15 BASE_Q-4-22;2021-09-15;BASE_Q-4-22;393,50;;;388,00;399,00;0;0;0;0,00;12;14;
2021-09-15 BASE_Q-1-23;2021-09-15;BASE_Q-1-23;;;;;;0;0;0;0,00;0;0;
